fluid_name,Tc_mix,Pc_mix,omega_mix,M_mix,n_components,epsilon_LLSL,T_liq_evap_in,T_liq_evap_out,superheat,DELTAT_dew_suction,T_liq_cond_in,T_liq_cond_out,subcool,DELTAT_dew_discharge
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.01,19.54,14.9,0.6,32.75,36.12,5.0,0.44
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.14,19.67,15.2,0.57,32.78,36.15,5.0,0.45
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.08,19.51,15.2,0.66,32.72,36.13,4.9,0.3
R1234yf,367.85,3.382,0.276,114.04,1,0.0,27.68,19.0,15.1,0.74,32.85,36.34,5.2,0.5
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.16,18.17,15.1,1.1,32.78,36.92,4.9,0.48
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.08,18.09,15.1,1.1,32.71,36.86,5.0,0.52
R1234yf,367.85,3.382,0.276,114.04,1,0.0,27.93,17.92,15.1,1.13,32.94,37.11,5.4,0.51
R1234yf,367.85,3.382,0.276,114.04,1,0.0,27.91,17.9,15.1,1.13,32.77,36.98,5.3,0.5
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.14,16.81,15.1,1.79,32.82,37.76,5.0,0.59
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.0,16.66,15.0,1.82,32.71,37.68,5.0,0.62
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.18,16.84,15.2,1.81,32.79,37.74,5.0,0.59
R1234yf,367.85,3.382,0.276,114.04,1,0.0,28.1,16.78,14.9,1.83,32.77,37.74,5.0,0.57
R1234yf,367.85,3.382,0.276,114.04,1,0.361,28.13,19.46,7.8,0.59,32.79,36.22,5.1,0.51
R1234yf,367.85,3.382,0.276,114.04,1,0.363,28.05,19.38,7.8,0.64,32.79,36.24,5.1,0.44
R1234yf,367.85,3.382,0.276,114.04,1,0.364,27.76,19.09,7.9,0.66,32.86,36.33,5.1,0.49
R1234yf,367.85,3.382,0.276,114.04,1,0.353,28.08,18.08,7.8,1.17,32.68,36.8,5.0,0.52
R1234yf,367.85,3.382,0.276,114.04,1,0.352,27.98,17.97,7.8,1.19,32.8,36.92,4.9,0.51
R1234yf,367.85,3.382,0.276,114.04,1,0.351,28.11,18.1,7.9,1.19,32.78,36.9,4.9,0.51
R1234yf,367.85,3.382,0.276,114.04,1,0.343,28.12,16.78,7.9,1.93,32.78,37.67,4.9,0.54
R1234yf,367.85,3.382,0.276,114.04,1,0.342,28.07,16.74,7.9,1.96,32.79,37.69,5.0,0.58
R1234yf,367.85,3.382,0.276,114.04,1,0.343,28.02,16.69,7.9,1.99,32.72,37.64,5.1,0.58
R134a,374.21,4.059,0.327,102.03,1,0.0,28.12,19.8,15.0,0.39,32.7,35.89,5.1,0.58
R134a,374.21,4.059,0.327,102.03,1,0.0,27.8,19.14,15.2,0.51,32.79,36.1,4.8,0.64
R134a,374.21,4.059,0.327,102.03,1,0.0,28.06,19.39,15.1,0.4,32.69,36.07,5.0,0.72
R134a,374.21,4.059,0.327,102.03,1,0.0,27.75,19.08,15.2,0.42,32.71,36.07,5.1,0.61
R134a,374.21,4.059,0.327,102.03,1,0.0,28.09,19.42,15.1,0.39,32.71,36.1,5.1,0.57
R134a,374.21,4.059,0.327,102.03,1,0.0,28.2,19.58,15.2,0.49,32.77,36.17,4.9,0.52
R134a,374.21,4.059,0.327,102.03,1,0.0,28.13,19.46,15.1,0.49,32.75,36.22,4.9,0.43
R134a,374.21,4.059,0.327,102.03,1,0.0,28.13,18.12,14.9,0.7,32.71,36.69,5.1,0.62
R134a,374.21,4.059,0.327,102.03,1,0.0,28.12,18.12,15.0,0.7,32.66,36.72,5.0,0.66
R134a,374.21,4.059,0.327,102.03,1,0.0,27.85,17.84,15.0,0.78,32.73,36.74,5.2,0.64
R134a,374.21,4.059,0.327,102.03,1,0.0,27.7,17.7,15.0,0.87,32.83,36.83,5.1,0.53
