TestDate,Time,TestID,Working_Fluid _Number_of_Components,Component[1],Component[2],Component[3],MassFraction[1],MassFraction[2],MassFraction[3],TestCondition$,CompressorSpeed,CompressorTorque,DELTAP_cond,DELTAP_evap,DELTAP_discharge_abs,DELTAP_suction,DT_liq_evap,DT_liq_cond,m_dot_liq_cond,m_dot_liq_evap,m_dot_ref,N_tubes_cond,N_tubes_evap,P[1],P[2],P[3],P[4],P[5],P[6],P[7],Pa[7],P[8],P[9],P[10],P[11],T[1],T[2],T[3],T[4],T[5],T[6],T[7],Ta[7],T[8],T[9],T[10],T[11],T_liq_cond_in,T_liq_cond_out,T_liq_evap_in,T_liq_evap_out,Tube_InnerDiameter_cond,Tube_Length_cond,Tube_InnerDiameter_evap,Tube_Length_evap,TC[1],TC[2],TC[3],TC[4],TC[5],TC[6],TC[7],TC[8],TC[9],TC[10],TC[11],TC[12],TC[13],TC[14],TC[15],TC[16],TC[17],TC[18],TC[19],TC[20],TC[21],TC[22],TC[23],TC[24],TC[25],TC[26],TC[27],TC[28],TC[29],TC[30],TC[31],TC[32],TC[33],TC[34],TC[35],TC[36],TC[37],TC[38],TC[39],TC[40],TC[41],TC[42],TC[43],TC[44],TC[45],TC[46],TC[47],TC[48],TC[49],TC[50],TC[51],TC[52],TC[53],TC[54],TC[55],TC[56],TC[57],TC[58],TC[59],TC[60],TC[61],TC[62],TC[63],TC[64],TC[65],TC[66],TC[67],TC[68],TC[69],TC[70],TC[71],TC[72],TC[73],TC[74],TC[75],TC[76],TC[77],TC[78],TC[79],TC[80],TC[81],TC[82],TC[83],TC[84],TC[85],TC[86],TC[87],TC[88],TC[89],TC[90],TC[91],TC[92],Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,COP_c_ref_dh,cp_liq_cond,cp_liq_evap,DELTAT_dew_cond,DELTAT_dew_evap,DELTAT_dew_discharge,DELTAT_dew_suction,epsilon_LLSL,eta_s,eta_v,G_ref_cond,G_ref_evap,h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],N_tubes_evap_superheated,N_tubes_cond_subcooled,Q_dot_evap_ref,Q_dot_evap_liq,Q_dot_cond_ref,Q_dot_cond_liq,Q_dot_cond_imb%,Q_dot_evap_imb%,Q_dot_LLSL_imb%,Q_dot_ins_cond,Q_dot_ins_evap,Q\v_c,superheat,subcool,T_sat_cond_ave,T_sat_evap_ave,v[1],W_dot_comp_dh,W_dot_comp_shaft,Extra_195,Extra_196,Extra_197,Extra_198,Extra_199,Extra_200,Extra_201,Extra_202,Extra_203,Extra_204,Extra_205,Extra_206,Extra_207,Extra_208,Extra_209,Extra_210,Extra_211,Extra_212,Extra_213,Extra_214,Extra_215,Extra_216,Extra_217,Extra_218,Extra_219,Extra_220,Extra_221,Extra_222,Extra_223,Extra_224,Extra_225,Extra_226,Extra_227,Extra_228,Extra_229,Extra_230,Extra_231,Extra_232,Extra_233,Extra_234,Extra_235,Extra_236,Extra_237,Extra_238,Extra_239,Extra_240,Extra_241,Extra_242,Extra_243,Extra_244,Extra_245,Extra_246,Extra_247,Extra_248,Extra_249,Extra_250,Extra_251,Extra_252,Extra_253,Extra_254,Extra_255,Extra_256,Extra_257,Extra_258,Extra_259,Extra_260,Extra_261,Extra_262,Extra_263,Extra_264,Extra_265,Extra_266,Extra_267,Extra_268,Extra_269,Extra_270,Extra_271,Extra_272,Extra_273,Extra_274,Extra_275,Extra_276,Extra_277,Extra_278,Extra_279,Extra_280,Extra_281,Extra_282,Extra_283,Extra_284,Extra_285,Extra_286,Extra_287,Extra_288,Extra_289,Extra_290,Extra_291,Extra_292,Extra_293,Extra_294,Extra_295,Extra_296,Extra_297,Extra_298,Extra_299,Extra_300,Extra_301,Extra_302,Extra_303,Extra_304,Extra_305,Extra_306,Extra_307,Extra_308,Extra_309,Extra_310,Extra_311,Extra_312,Extra_313,Extra_314,Extra_315,Extra_316,Extra_317,LLSL_Included,fluid_name
4/14/2021,14:53:15,818.0,1.0,R1234yf,,,1.0,,,Cooling A,11.52,3.733,39.6,28.1,10.0,8.02,8.471,3.375,0.09755,0.05621,0.009142,16.0,10.0,417.6,417.6,1043.0,1031.4,1031.4,991.8,991.8,991.8,991.8,453.8,425.6,425.6,24.3,24.3,56.6,53.86,40.5,38.96,33.94,32.15,33.25,10.91,9.12,24.05,32.75,36.12,28.01,19.54,0.008458,0.5588,0.008458,0.5588,52.61,36.11,36.12,35.5,36.29,50.82,35.37,39.82,35.06,39.38,34.78,39.13,36.13,35.39,36.13,35.41,35.85,40.16,35.42,39.74,34.96,39.34,34.5,39.23,34.3,39.15,33.73,38.9,33.17,38.45,32.71,36.33,32.76,33.7,33.97,38.83,33.38,38.73,32.97,38.21,32.74,34.6,26.12,28.02,28.01,27.59,28.02,27.55,28.03,27.71,28.02,27.66,27.9,25.1,28.05,27.92,28.06,27.99,28.04,27.98,28.04,27.91,28.07,27.94,27.65,21.49,27.14,17.11,24.12,10.33,22.24,10.75,20.3,11.17,19.56,11.05,25.75,10.65,23.12,10.55,21.21,11.17,19.44,11.06,32.15,19.54,26.67,28.05,27.18,32.75,36.2,28.11,,,,,,6.427,4.179,2.6,1.54,2.04,0.44,0.6,0.0,0.829,0.825,162.7,162.7,384.0,384.0,405.6,402.7,387.4,253.4,246.1,245.1,245.1,369.2,383.6,3.0,3.0,1.266,1.243,1.432,1.424,-0.5,-1.8,0.0,0.0482,0.005,2958.0,14.9,5.0,39.74,10.16,0.04682,0.197,0.2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/16/2021,16:55:58,829.0,1.0,R1234yf,,,1.0,,,Cooling A,11.48,3.699,39.5,28.2,10.1,7.6,8.468,3.368,0.09765,0.05637,0.009143,16.0,10.0,418.9,418.9,1044.0,1032.2,1032.2,992.7,992.7,992.7,992.7,454.7,426.5,426.5,24.54,24.54,56.79,54.08,40.53,39.0,34.02,32.16,33.34,11.08,9.19,24.38,32.78,36.15,28.14,19.67,0.008458,0.5588,0.008458,0.5588,52.67,36.12,36.14,35.52,36.33,50.86,35.4,39.86,35.08,39.42,34.8,39.17,36.16,35.4,36.14,35.42,35.87,40.18,35.42,39.77,34.99,39.39,34.53,39.27,34.33,39.2,33.74,38.94,33.19,38.47,32.75,36.27,32.78,33.7,33.99,38.86,33.4,38.74,32.98,38.22,32.77,34.57,26.07,28.14,28.13,27.68,28.13,27.62,28.14,27.78,28.13,27.74,28.02,25.31,28.15,28.01,28.17,28.06,28.14,28.08,28.15,27.99,28.18,28.02,27.77,21.83,27.29,17.64,24.31,10.4,22.41,10.81,20.44,11.21,19.67,11.11,26.02,10.85,23.3,10.62,21.37,11.25,19.58,11.13,32.16,19.67,26.58,28.18,27.18,32.78,36.22,28.02,,,,,,6.436,4.179,2.601,1.54,2.04,0.45,0.57,0.0,0.827,0.827,162.7,162.7,384.2,384.2,405.7,402.9,387.4,253.4,246.2,245.2,245.2,369.2,383.9,3.0,3.0,1.268,1.245,1.433,1.423,-0.7,-1.8,0.0,0.0483,0.0038,2969.0,15.2,5.0,39.77,10.22,0.04671,0.197,0.2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/21/2021,17:28:55,837.0,1.0,R1234yf,,,1.0,,,Cooling A,11.84,3.682,43.7,28.4,6.9,8.72,8.575,3.413,0.09758,0.05625,0.00925,16.0,10.0,416.1,416.1,1044.9,1037.1,1037.1,993.4,993.4,993.4,993.4,453.1,424.8,424.8,24.38,24.38,57.01,54.28,40.72,39.02,34.11,32.15,33.43,10.98,9.06,24.21,32.72,36.13,28.08,19.51,0.008458,0.5588,0.008458,0.5588,52.81,36.09,36.11,35.47,36.3,51.11,35.36,39.8,35.05,39.37,34.78,39.13,36.14,35.37,36.14,35.4,35.86,40.12,35.42,39.72,34.96,39.32,34.5,39.22,34.29,39.14,33.72,38.9,33.17,38.44,32.68,36.5,32.71,33.73,33.97,38.82,33.38,38.74,32.96,38.2,32.71,34.68,25.85,28.07,28.06,27.57,28.07,27.5,28.09,27.67,28.08,27.65,27.96,25.16,28.1,27.93,28.13,28.0,28.09,28.0,28.09,27.9,28.12,27.93,27.72,21.61,27.24,17.37,24.17,10.22,22.27,10.65,20.3,11.07,19.52,10.95,25.84,10.55,23.17,10.42,21.21,11.05,19.42,10.97,32.15,19.51,26.27,28.12,27.01,32.72,36.21,27.85,,,,,,6.33,4.179,2.6,1.69,2.06,0.3,0.66,0.0,0.822,0.816,164.6,164.6,384.1,384.1,406.0,403.1,387.5,253.5,246.3,245.4,245.4,369.1,383.8,3.0,3.0,1.28,1.257,1.45,1.441,-0.6,-1.8,0.0,0.0493,0.0026,2943.0,15.2,4.9,39.88,10.1,0.04703,0.2022,0.2739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/16/2021,11:17:07,825.0,1.0,R1234yf,,,1.0,,,Cooling A,12.18,3.731,39.1,30.6,11.9,9.64,8.676,3.487,0.09758,0.0562,0.009409,16.0,10.0,406.2,406.2,1051.3,1038.1,1038.1,999.0,999.0,999.0,999.0,446.4,415.8,415.8,23.67,23.67,56.91,54.3,40.76,39.25,34.06,32.42,33.37,10.51,8.39,23.5,32.85,36.34,27.68,19.0,0.008458,0.5588,0.008458,0.5588,53.01,36.32,36.34,35.94,36.52,51.24,35.56,40.19,35.23,39.72,34.94,39.48,36.33,35.61,36.3,35.63,36.02,40.49,35.54,40.11,35.11,39.7,34.65,39.58,34.46,39.5,33.87,39.24,33.28,38.72,32.84,36.35,32.86,33.81,34.08,39.16,33.5,39.0,33.04,38.44,32.86,34.68,27.05,27.68,27.69,27.43,27.69,27.43,27.7,27.5,27.69,27.45,27.57,24.57,27.71,27.73,27.7,27.71,27.69,27.75,27.73,27.76,27.73,27.76,27.28,20.65,26.71,15.89,23.54,9.82,21.68,10.24,19.75,10.7,19.02,10.55,25.05,9.99,22.49,10.08,20.67,10.74,18.92,10.62,32.42,19.0,27.38,27.71,28.4,32.85,36.4,28.68,,,,,,6.239,4.179,2.6,1.51,2.26,0.5,0.74,0.0,0.84,0.827,167.5,167.5,383.6,383.6,405.7,403.1,387.6,253.8,246.3,245.3,245.3,368.7,383.3,3.0,3.0,1.298,1.279,1.475,1.463,-0.8,-1.5,0.0,0.0413,0.0114,2866.0,15.1,5.2,40.01,9.53,0.04815,0.2081,0.2854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/15/2021,15:18:49,823.0,1.0,R1234yf,,,1.0,,,Cooling A,14.96,3.941,56.3,48.1,11.8,13.63,9.997,4.143,0.09765,0.05624,0.01112,16.0,10.0,375.3,375.3,1082.8,1069.8,1069.8,1013.5,1013.5,1014.0,1013.5,437.0,388.9,388.9,21.66,21.66,59.42,57.07,41.95,39.81,34.88,32.94,34.28,9.82,6.29,21.42,32.78,36.92,28.16,18.17,0.008458,0.5588,0.008458,0.5588,55.69,36.9,36.91,36.32,37.12,53.86,36.05,41.24,35.65,40.53,35.32,40.14,36.92,36.12,36.91,36.14,36.57,44.21,36.03,41.08,35.52,40.45,35.0,40.24,34.78,40.14,34.12,39.94,33.48,39.5,32.87,38.68,32.8,34.58,34.39,39.8,33.71,39.78,33.19,39.18,32.82,36.09,26.06,28.16,28.15,27.55,28.16,27.48,28.16,27.67,28.16,27.58,27.91,22.93,28.18,28.04,28.19,28.09,28.17,28.11,28.18,28.02,28.2,28.05,27.36,16.71,25.94,9.63,22.69,8.75,20.83,9.34,18.93,9.88,18.19,9.81,24.21,8.76,21.68,9.08,19.83,9.86,18.08,9.81,32.94,18.17,26.61,28.2,27.23,32.78,37.0,28.2,,,,,,5.269,4.179,2.599,2.14,3.67,0.48,1.1,0.0,0.807,0.861,198.0,198.0,382.3,382.3,408.0,405.6,388.2,254.6,247.4,246.6,246.6,367.3,381.8,2.0,2.0,1.504,1.469,1.759,1.742,-1.0,-2.3,0.0,0.0512,0.0076,2596.0,15.1,4.9,40.89,8.17,0.05209,0.2855,0.3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/21/2021,14:46:12,835.0,1.0,R1234yf,,,1.0,,,Cooling A,15.02,3.931,56.1,48.2,12.1,13.65,9.99,4.15,0.09758,0.05625,0.01114,16.0,10.0,375.1,375.1,1083.6,1069.6,1069.6,1013.5,1013.5,1013.0,1013.5,436.9,388.8,388.8,21.6,21.6,59.44,57.07,41.95,39.81,34.85,32.84,34.25,9.81,6.28,21.36,32.71,36.86,28.08,18.09,0.008458,0.5588,0.008458,0.5588,55.61,36.81,36.83,36.24,37.05,53.79,35.97,41.19,35.57,40.48,35.24,40.09,36.86,36.06,36.86,36.09,36.52,44.11,36.0,41.03,35.44,40.41,34.93,40.19,34.69,40.09,34.05,39.89,33.41,39.44,32.79,38.54,32.73,34.49,34.31,39.76,33.64,39.73,33.12,39.11,32.74,35.97,25.92,28.07,28.06,27.45,28.07,27.4,28.08,27.61,28.09,27.51,27.84,22.82,28.11,27.96,28.14,28.03,28.1,28.02,28.09,27.94,28.12,27.97,27.29,16.58,25.87,9.49,22.59,8.67,20.77,9.27,18.87,9.82,18.13,9.75,24.12,8.7,21.62,8.99,19.73,9.78,18.01,9.73,32.84,18.09,26.44,28.12,27.14,32.71,36.94,28.12,,,,,,5.255,4.179,2.599,2.14,3.67,0.52,1.1,0.0,0.806,0.858,198.2,198.2,382.3,382.3,408.0,405.6,388.2,254.6,247.4,246.5,246.5,367.3,381.8,2.0,3.0,1.506,1.468,1.762,1.744,-1.0,-2.5,0.0,0.0513,0.0071,2595.0,15.1,5.0,40.89,8.16,0.05209,0.2865,0.3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/19/2021,12:05:54,830.0,1.0,R1234yf,,,1.0,,,Cooling A,15.3,3.948,55.4,48.5,11.2,13.86,10.011,4.175,0.09753,0.05621,0.01114,16.0,10.0,369.4,369.4,1087.4,1073.6,1073.6,1018.2,1018.2,1018.0,1018.2,431.8,383.2,383.2,21.17,21.17,59.6,57.26,42.09,39.99,34.57,32.98,33.98,9.45,5.84,20.93,32.94,37.11,27.93,17.92,0.008458,0.5588,0.008458,0.5588,56.09,37.08,37.12,36.65,37.33,54.18,36.23,41.53,35.79,40.84,35.46,40.46,37.1,36.28,37.02,36.28,36.68,44.2,36.09,41.37,35.66,40.78,35.14,40.59,34.95,40.51,34.28,40.28,33.61,39.74,33.03,37.99,32.97,34.4,34.49,40.12,33.81,40.05,33.23,39.37,32.95,35.64,26.17,27.92,27.92,27.39,27.92,27.37,27.94,27.54,27.93,27.42,27.66,22.58,27.93,27.84,27.91,27.85,27.86,27.9,27.95,27.87,27.97,27.89,27.11,16.21,25.59,9.12,22.42,8.47,20.56,9.08,18.67,9.64,17.93,9.51,23.85,8.44,21.31,8.84,19.58,9.69,17.85,9.59,32.98,17.92,26.87,27.96,28.28,32.94,37.17,28.47,,,,,,5.178,4.179,2.599,2.1,3.74,0.51,1.13,0.0,0.807,0.856,198.3,198.3,382.0,382.0,408.1,405.7,388.2,254.9,247.0,246.2,246.2,367.1,381.5,2.0,3.0,1.508,1.473,1.768,1.747,-1.2,-2.3,0.0,0.0453,0.0106,2558.0,15.1,5.4,41.05,7.75,0.05288,0.2911,0.3794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/14/2021,13:21:05,817.0,1.0,R1234yf,,,1.0,,,Cooling A,15.25,3.979,55.7,48.8,11.2,13.85,10.002,4.203,0.09754,0.05634,0.01117,16.0,10.0,370.0,370.0,1086.2,1072.8,1072.8,1017.2,1017.2,1017.0,1017.2,432.6,383.8,383.8,21.23,21.23,59.63,57.27,42.07,39.95,34.63,32.89,34.03,9.45,5.89,20.94,32.77,36.98,27.91,17.9,0.008458,0.5588,0.008458,0.5588,56.08,36.97,37.0,36.78,37.2,54.22,36.14,41.38,35.69,40.67,35.34,40.3,36.98,36.27,36.97,36.31,36.65,44.4,36.08,41.24,35.55,40.63,35.03,40.4,34.8,40.3,34.14,40.08,33.47,39.59,32.86,38.26,32.81,34.4,34.39,39.97,33.73,39.93,33.16,39.29,32.83,35.81,27.38,27.93,27.94,27.59,27.94,27.56,27.95,27.67,27.94,27.47,27.67,22.54,27.96,27.99,27.95,27.97,27.95,27.97,27.95,27.94,27.97,27.93,27.1,16.08,25.52,9.01,22.37,8.44,20.55,9.04,18.67,9.6,17.96,9.52,23.9,8.44,21.36,8.75,19.54,9.57,17.82,9.53,32.89,17.9,27.82,27.94,28.36,32.77,37.05,29.47,,,,,,5.174,4.179,2.599,2.12,3.75,0.5,1.13,0.0,0.805,0.859,198.8,198.8,382.0,382.0,408.1,405.7,388.2,254.8,247.1,246.2,246.2,367.1,381.5,2.0,3.0,1.51,1.48,1.772,1.757,-0.8,-2.0,0.0,0.0441,0.0158,2561.0,15.1,5.3,41.02,7.81,0.0528,0.2919,0.3812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/19/2021,13:51:46,831.0,1.0,R1234yf,,,1.0,,,Cooling A,21.22,3.999,73.4,68.4,14.3,20.14,11.336,4.933,0.09754,0.05621,0.0129,16.0,10.0,327.6,327.6,1125.8,1109.3,1109.3,1035.9,1035.9,1036.0,1035.9,416.1,347.7,347.7,18.19,18.19,64.3,61.91,43.41,40.67,35.72,33.6,35.14,8.22,2.87,17.97,32.82,37.76,28.14,16.81,0.008458,0.5588,0.008458,0.5588,60.44,37.7,37.74,37.15,38.0,58.68,36.69,42.54,36.23,41.62,35.85,41.12,37.74,36.83,37.7,36.82,37.28,47.02,36.64,42.33,36.07,41.53,35.48,41.25,35.24,41.15,34.51,40.95,33.78,40.58,33.06,39.78,32.86,35.47,34.8,40.76,34.04,40.78,33.42,40.22,32.89,37.54,25.27,28.13,28.11,27.23,28.12,27.1,28.13,27.34,28.13,27.23,27.71,20.16,28.16,27.92,28.17,28.01,28.1,28.03,28.14,27.89,28.17,27.94,26.88,11.32,24.39,6.28,21.48,6.58,19.53,7.47,17.59,8.19,16.85,8.24,23.03,6.43,20.39,7.06,18.5,8.1,16.71,8.21,33.6,16.81,25.89,28.18,26.79,32.82,37.82,27.83,,,,,,4.021,4.179,2.598,2.73,5.54,0.59,1.79,0.0,0.738,0.805,229.7,229.7,380.0,380.0,412.7,410.3,388.9,255.9,248.7,247.8,247.8,365.2,379.4,2.0,2.0,1.698,1.662,2.086,2.068,-0.8,-2.1,0.0,0.0573,0.0069,2210.0,15.1,5.0,42.06,5.73,0.05954,0.4221,0.5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
4/21/2021,16:07:53,836.0,1.0,R1234yf,,,1.0,,,Cooling A,21.45,3.979,74.0,68.9,15.6,20.41,11.343,4.966,0.09759,0.05623,0.01295,16.0,10.0,326.2,326.2,1128.5,1111.3,1111.3,1037.3,1037.3,1037.0,1037.3,415.5,346.6,346.6,18.05,18.05,64.46,62.1,43.48,40.73,35.71,33.59,35.17,8.17,2.78,17.81,32.71,37.68,28.0,16.66,0.008458,0.5588,0.008458,0.5588,60.56,37.63,37.65,37.17,37.92,58.79,36.61,42.49,36.14,41.57,35.76,41.07,37.68,36.81,37.68,36.83,37.25,47.07,36.61,42.29,35.98,41.48,35.4,41.17,35.13,41.06,34.41,40.87,33.68,40.51,32.96,39.7,32.75,35.38,34.71,40.72,33.97,40.73,33.35,40.17,32.79,37.48,25.76,27.99,27.97,27.18,27.99,27.09,28.0,27.33,28.0,27.2,27.6,19.96,28.04,27.87,28.04,27.94,28.03,27.93,28.01,27.84,28.04,27.86,26.74,11.02,24.25,6.12,21.33,6.42,19.41,7.34,17.46,8.1,16.71,8.13,22.89,6.32,20.31,6.91,18.33,7.97,16.58,8.05,33.59,16.66,26.21,28.04,27.08,32.71,37.76,28.17,,,,,,3.988,4.179,2.598,2.75,5.59,0.62,1.82,0.0,0.737,0.802,230.5,230.5,379.9,379.9,412.8,410.5,388.9,256.0,248.6,247.9,247.9,365.1,379.2,2.0,2.0,1.701,1.666,2.096,2.08,-0.8,-2.1,0.0,0.055,0.0094,2198.0,15.0,5.0,42.12,5.67,0.05977,0.4267,0.5362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,R1234yf
